MGI symbol,430AV2_WB_D2_Enrich,430AV2_WB_D2_Hedges_g,430AV2_WB_D2_Var_g,430AV2_WB_D2_SEg
4931406C07Rik,-0.25307000000000013,-1.815758377934947,0.767220640655719,0.8736883239381265
4931406G06Rik,0.2692633333333334,0.7045573770406569,0.5230334247952008,0.7232104982611914
4931417E11Rik,0.19405000000000028,0.9499809878524511,0.5568719897734266,0.7462385608995468
4931440P22Rik,-0.13142000000000031,-1.0725764745182627,0.5775350244741687,0.7599572517412863
4932438A13Rik,-0.15076333333333292,-0.5469187029766928,0.5065933389721423,0.7117537066795946
4932438H23Rik,-0.13072333333333308,-0.672767278023636,0.5193846508649443,0.7206834609347882
4933400A11Rik,0.04559000000000024,0.5125758521274437,0.5035611670153478,0.7096204386961723
4933411G06Rik,-0.08245666666666729,-0.9135177656021813,0.5512095590059001,0.7424348853642991
4933411K20Rik,0.16688105263157957,0.43434270631145755,0.4974848114184762,0.7053239113145464
4933413G19Rik,-0.2227699999999997,-0.7627927563656367,0.5301543990969904,0.7281170229413609
4933415F23Rik,0.012630000000000141,0.0730005058147868,0.48211075615410115,0.6943419590908367
4933417A18Rik,-0.029563333333333386,-0.2496507363533027,0.48686045751347884,0.6977538659967989
4933421I07Rik,0.005006666666667492,0.041563938911170904,0.48181063008481756,0.6941258027798833
4933425L06Rik,0.11750333333333352,1.0032069734598745,0.5655353526332101,0.7520208458767683
4933426M11Rik,0.20376333333333463,1.281283321233231,0.6184739124392048,0.7864311237732169
4933428G20Rik,0.05932999999999966,0.3437880312286201,0.49151585086800414,0.7010819145206958
4933431E20Rik,-0.23841999999999963,-1.2231496233412376,0.6063412500899842,0.7786791701914109
4933434E20Rik,-0.0510560000000007,-0.32553476575036805,0.5015062840336647,0.7079665854072938
4933434I20Rik,0.02505999999999977,-0.13128305920417516,0.5270887568341394,0.726007399853555
4933436I01Rik,-0.12309666666666708,-2.126373632506655,0.8584554020849623,0.9265286838975695
5031439G07Rik,-0.24239666666666704,-2.3507132766394347,0.9421544090807421,0.9706463872496215
5033411D12Rik,-0.0011300000000007415,-0.009563859263851584,0.4816742889503348,0.6940275851508604
5330417C22Rik,-0.00034333333333336213,-0.0015937134173600969,0.48166687832687133,0.6940222462766387
5430417L22Rik,0.053469999999999906,0.5470147111471817,0.5066020911842861,0.7117598549962523
5430421N21Rik,0.09705666666666612,0.378464244506138,0.4936029320308001,0.7025688094633864
5430435G22Rik,0.0022416666666664753,0.12587345648056375,0.49904024006497255,0.7063977373644732
5830417I10Rik,0.056236666666666935,0.11670181696723973,0.48280160950695455,0.6948392688290973
5830428H23Rik,-0.05952333333333337,-0.40501522322051553,0.49533644425336354,0.7038014238784712
6030458C11Rik,0.03904333333333332,0.19840406238155595,0.48593509256988293,0.6970856635802372
6330403K07Rik,-0.07723333333333215,-0.8817169350752532,0.5464520627998748,0.7392239598388805
6330408A02Rik,-0.019676666666665454,-0.09393217193652527,0.4824019377437259,0.6945516091290308
6330416G13Rik,-0.1797822222222226,-0.7232530950839597,0.5652299239682083,0.7490536553249003
6430548M08Rik,0.008890289855071565,0.018929627970752802,0.482260167120448,0.6944495070032608
6820431F20Rik,0.11163166666666635,0.13075899806460758,0.5162110556643315,0.7182768144135343
8030411F24Rik,0.02609666666666577,0.23245458784683437,0.48616959461758674,0.6972586282130805
8430410A17Rik,0.009193333333332276,0.09923414868246372,0.48248728468872776,0.6946130467308599
8430419L09Rik,0.03432583333333261,0.04208303738855296,0.49684974198889276,0.7048289616343721
9030617O03Rik,-0.19856666666666722,-1.0770601500389543,0.5783382139001612,0.7604855119594068
9030624J02Rik,-0.08678249999999976,-0.5645509212957331,0.5168664647212492,0.7184109727804523
9130017N09Rik,0.25746,0.594768834019547,0.5111458304934142,0.7149446345650929
9130221H12Rik,-0.04114666666666622,-0.30719629097286655,0.4895307967656238,0.6996647745639506
9130401M01Rik,0.009009999999999962,0.04624325523234927,0.48184486988787356,0.6941504663168307
9430015G10Rik,0.09880333333333358,0.8711804332703901,0.544912945609432,0.7381821899839036
9430016H08Rik,-0.24227666666666536,-0.929078824848373,0.5535989552318028,0.7440423074206216
9430023L20Rik,0.11483000000000043,2.2119321725987526,0.889386994681453,0.943073165073343
9530002B09Rik,0.052796666666665715,0.22185744436035085,0.4857683938015088,0.696970870124074
9530053A07Rik,-0.02662333333333411,-0.1287539762899569,0.48304813220087284,0.6950166416718904
9530068E07Rik,0.03807333333333274,0.572521042374016,0.5200505314172594,0.7207416338201649
9830147E19Rik,-0.12489000000000061,-0.8716885951297058,0.5449867505732666,0.7382321793130306
9930013L23Rik,-0.09989000000000026,-1.2326265720041283,0.6082806888342207,0.7799235147334774
9930111J21Rik1,-0.3003399999999985,-2.6100684742806615,1.0493714533694818,1.0243883313321573
A030009H04Rik,-0.05513666666666772,-0.6493167051056724,0.5168026341963456,0.7188897858063866
A130006I12Rik,-0.022490000000000343,-0.10070725510862916,0.4825118292692928,0.6946307143146586
A230046K03Rik,0.15534666666666652,0.43934766556582183,0.49775219760317807,0.705515554472882
A230050P20Rik,-0.20352999999999888,-1.0532546150214044,0.5741121070053238,0.7577018589163708
A2m,0.05739666666666654,0.23424044048150114,0.48623904866308054,0.6973084315158398
A430005L14Rik,0.03224999999999767,0.22780023838629618,0.48599107905073774,0.6971306040124317
